Field	Type	Null	Key	Default	Extra
user_id	int	NO	PRI	-	auto_increment
username	varchar(50)	NO	UNI	-	-
nickname	varchar(50)	YES	-	-	-
password_hash	varchar(255)	NO	-	-	-
phone	varchar(20)	YES	-	-	-
email	varchar(100)	YES	-	-	-
created_at	timestamp	NO	-	CURRENT_TIMESTAMP	DEFAULT_GENERATED
updated_at	timestamp	YES	-	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
is_verified	tinyint(1)	YES	-	0	-
verification_token	varchar(255)	YES	-	-	-
verification_token_expires	datetime	YES	-	-	-
reset_token	varchar(255)	YES	-	-	-
reset_token_expires	datetime	YES	-	-	-
